distancia_km,tipo_envio,ventana_horas,volumen,fragil,frio,saturacion,prioridad
120,express,4,6,1,1,alta,alta
1323,express,24,6,1,1,baja,media
1688,normal,48,19,0,0,media,baja
1454,normal,48,21,1,0,baja,baja
578,express,8,27,0,1,baja,media
81,normal,4,8,0,0,media,baja
393,normal,8,15,0,1,baja,baja
312,express,4,20,1,0,baja,media
240,normal,4,42,1,0,media,media
1943,express,24,25,0,0,baja,media
2360,normal,48,19,0,0,media,media
83,normal,4,17,0,0,alta,media
179,express,4,35,0,0,media,alta
3323,express,48,18,0,0,baja,media
1534,express,24,5,1,0,baja,media
157,normal,4,20,0,0,media,baja
2226,normal,48,22,1,0,baja,media
1767,normal,48,31,1,1,media,media
332,normal,4,41,0,0,baja,baja
379,normal,8,3,0,0,baja,baja
516,normal,8,14,0,0,baja,baja
460,normal,8,25,0,0,media,baja
269,normal,4,18,0,0,media,baja
619,express,8,2,0,1,alta,alta
323,normal,8,12,0,0,baja,baja
969,normal,24,37,0,0,media,baja
222,normal,4,29,0,0,alta,media
1583,express,24,3,0,0,baja,media
188,express,4,11,0,0,baja,media
78,normal,4,27,1,1,baja,media
105,express,4,19,1,1,baja,alta
243,express,4,7,1,0,alta,alta
2894,normal,72,35,0,1,media,media
532,normal,8,10,0,0,media,baja
442,normal,8,25,0,0,media,baja
480,normal,8,20,0,0,media,baja
399,normal,8,18,0,0,baja,baja
1372,express,24,11,0,0,media,media
620,normal,24,18,0,0,media,baja
87,normal,4,5,1,0,alta,media
362,normal,8,6,0,1,alta,media
200,express,4,10,0,0,alta,alta
345,express,4,16,0,0,media,media
310,normal,4,23,1,0,baja,media
261,express,4,29,1,0,baja,alta
26,express,4,27,1,0,alta,alta
221,express,4,24,0,0,baja,media
450,normal,8,12,1,0,media,baja
41,normal,4,20,0,0,baja,baja
383,normal,8,22,0,0,alta,media
1175,normal,48,19,0,0,baja,baja
269,express,4,23,0,0,baja,media
1126,normal,24,16,1,0,baja,baja
210,express,4,5,0,0,alta,alta
342,normal,8,6,1,0,media,baja
3523,normal,72,9,1,1,media,media
235,normal,4,38,0,0,baja,baja
542,normal,8,9,1,0,media,baja
358,express,4,6,0,0,media,media
303,normal,4,26,0,0,baja,baja
119,normal,4,16,0,0,baja,baja
236,express,4,15,1,0,alta,alta
1026,normal,24,30,0,0,baja,baja
390,normal,8,21,0,0,baja,baja
273,normal,4,33,1,1,baja,media
119,express,4,7,0,1,baja,media
268,normal,4,33,0,0,baja,baja
446,express,8,41,1,1,baja,media
1197,normal,24,10,0,0,alta,media
133,express,4,18,1,0,media,alta
129,normal,4,46,0,0,alta,media
373,normal,8,40,0,1,media,baja
95,normal,4,20,0,0,media,baja
515,normal,8,25,1,1,baja,baja
161,normal,4,20,1,0,media,media
74,express,4,42,0,0,alta,alta
152,express,4,23,0,0,alta,alta
152,normal,4,6,0,0,media,baja
82,express,4,20,0,0,alta,alta
463,express,8,3,0,0,alta,media
2903,normal,72,36,1,0,alta,alta
210,normal,4,21,0,0,baja,baja
140,normal,4,30,0,0,baja,baja
65,normal,4,13,0,0,baja,baja
130,normal,4,24,0,0,alta,media
1902,express,48,35,0,0,alta,alta
683,normal,24,11,1,0,baja,baja
429,normal,8,8,1,0,media,baja
433,normal,8,7,0,0,baja,baja
1224,normal,24,16,0,0,media,baja
146,express,4,6,0,0,media,media
115,normal,4,15,0,0,baja,baja
19,express,4,12,1,0,baja,media
67,normal,4,9,1,0,media,media
203,normal,4,20,0,0,baja,baja
329,normal,4,26,1,1,media,media
1756,normal,48,46,0,1,media,media
3374,normal,72,23,1,0,alta,alta
312,express,4,42,0,1,media,alta
621,express,8,19,0,0,baja,baja
230,normal,4,29,0,0,baja,baja
196,normal,4,27,0,1,baja,media
478,normal,8,30,1,0,media,baja
1743,normal,48,42,1,0,alta,media
321,normal,4,29,0,0,media,media
197,normal,4,19,0,0,media,baja
445,normal,8,11,0,0,baja,baja
3150,normal,72,18,0,0,baja,baja
1635,normal,48,8,1,0,media,baja
280,normal,4,11,0,0,baja,baja
301,normal,4,24,0,0,alta,media
1212,normal,48,12,0,0,media,baja
185,express,4,13,0,0,media,media
434,normal,8,44,0,0,baja,baja
131,normal,4,28,0,0,baja,baja
485,normal,8,9,0,0,media,baja
316,normal,8,16,0,0,baja,baja
268,normal,4,7,1,0,alta,media
2658,express,48,11,0,0,alta,alta
235,express,4,32,1,0,alta,alta
456,express,4,17,0,0,media,media
163,normal,4,13,0,0,baja,baja
2858,express,48,22,0,0,media,alta
169,normal,4,4,0,0,alta,media
626,normal,8,43,0,0,media,baja
262,express,4,31,1,0,baja,alta
567,normal,8,27,0,0,baja,baja
158,normal,4,12,1,0,baja,baja
123,express,4,17,0,0,media,media
418,normal,8,13,0,1,alta,media
321,normal,4,12,0,1,alta,media
709,normal,24,28,1,0,alta,media
1406,express,24,14,0,1,media,media
561,normal,8,32,0,0,alta,media
232,normal,4,21,0,1,baja,media
667,express,8,18,0,0,media,media
109,normal,4,32,1,0,baja,media
577,normal,8,20,0,0,baja,baja
1194,normal,24,24,0,0,baja,baja
1422,normal,48,9,0,0,media,baja
561,normal,8,10,1,0,media,baja
128,express,4,29,1,0,alta,alta
158,express,4,11,0,0,media,media
507,normal,8,17,0,0,media,baja
1465,normal,48,21,0,0,alta,media
1611,normal,48,31,1,0,baja,baja
113,express,4,5,0,0,baja,media
252,normal,4,13,1,0,baja,baja
909,normal,24,36,1,0,alta,media
550,normal,8,7,0,0,alta,baja
3492,normal,72,10,1,0,media,media
139,express,4,36,0,0,media,alta
203,normal,4,10,0,0,media,baja
588,normal,24,18,0,0,media,baja
358,normal,8,13,1,0,baja,baja
643,express,8,14,0,1,baja,media
388,express,4,44,1,0,baja,alta
582,normal,8,16,0,0,media,baja
343,normal,4,27,0,0,media,media
3070,express,48,9,0,1,media,alta
1398,normal,48,23,1,0,baja,baja
555,normal,8,10,1,0,alta,media
1790,normal,48,14,1,0,baja,baja
626,normal,8,26,0,0,baja,baja
1195,normal,48,28,0,0,baja,baja
528,normal,8,32,1,0,baja,baja
251,normal,4,14,0,1,alta,media
336,normal,8,9,1,0,baja,baja
362,normal,8,18,0,0,media,baja
1209,normal,48,15,1,0,alta,media
195,normal,4,15,0,0,alta,media
3388,express,48,11,0,0,baja,media
1290,normal,24,13,1,0,baja,baja
295,normal,4,11,0,0,alta,media
572,express,8,12,1,1,baja,media
1395,normal,48,9,0,0,baja,baja
1189,normal,24,18,1,0,baja,baja
114,normal,4,23,0,0,baja,baja
171,express,4,29,0,0,baja,media
27,normal,4,30,1,0,media,media
90,normal,4,13,1,0,baja,baja
2923,normal,72,19,1,1,alta,alta
221,normal,4,19,0,0,baja,baja
324,normal,8,27,0,0,baja,baja
1417,normal,24,37,0,0,media,baja
124,normal,4,12,0,0,alta,media
2021,normal,48,27,0,0,baja,media
339,express,4,13,0,0,media,media
130,normal,4,37,0,0,media,media
369,express,4,27,1,0,baja,alta
3335,normal,72,21,1,0,baja,media
3417,normal,72,8,0,0,media,media
189,express,4,16,0,0,baja,media
309,normal,4,26,0,1,baja,media
572,normal,24,33,1,0,media,baja
637,express,8,9,0,0,baja,baja
221,normal,4,14,0,0,media,baja
591,normal,8,15,0,0,alta,baja
3459,normal,72,40,0,0,alta,alta
1166,express,24,10,0,0,baja,media
258,normal,4,42,0,1,media,media
186,express,4,17,0,0,media,media
432,normal,8,5,0,1,baja,baja
78,express,4,32,1,0,alta,alta
232,express,4,8,1,0,alta,alta
3140,normal,72,6,0,0,media,media
58,normal,4,8,0,0,baja,baja
239,normal,4,10,0,0,baja,baja
122,normal,4,36,0,0,baja,baja
213,express,4,32,0,0,baja,media
1622,express,48,24,0,0,media,media
1464,normal,48,26,1,1,baja,media
737,normal,24,19,0,0,baja,baja
191,normal,4,15,0,0,baja,baja
412,express,8,34,0,0,alta,alta
454,normal,8,15,0,0,alta,baja
1103,normal,24,30,1,0,alta,media
1782,normal,48,38,1,0,baja,baja
214,normal,4,20,0,0,baja,baja
1204,express,24,19,0,0,baja,media
59,express,4,17,0,0,baja,media
54,normal,4,12,0,1,media,media
394,normal,8,16,1,0,alta,media
149,express,4,9,0,1,baja,media
122,express,4,11,1,0,baja,media
1262,express,24,7,0,0,media,media
2109,normal,48,12,0,0,alta,media
653,normal,24,14,0,0,media,baja
66,normal,4,8,0,0,alta,media
106,express,4,5,1,0,baja,media
111,normal,4,33,0,0,alta,media
551,normal,8,14,0,0,media,baja
1364,express,24,18,0,0,alta,alta
206,normal,4,3,0,0,baja,baja
1307,express,24,10,0,0,media,media
1695,normal,48,27,1,1,alta,alta
723,express,8,20,0,0,baja,baja
1200,normal,24,8,0,0,alta,media
359,normal,8,10,0,0,baja,baja
166,normal,4,46,0,1,baja,media
521,normal,8,3,1,0,media,baja
3313,normal,72,30,0,1,baja,media
144,normal,4,12,0,0,media,baja
3718,express,72,2,0,1,baja,alta
549,normal,8,12,0,0,baja,baja
128,normal,4,16,0,1,alta,media
220,normal,4,20,0,0,baja,baja
1140,normal,24,29,0,0,baja,baja
1478,normal,48,44,0,1,alta,media
1553,normal,48,4,0,0,alta,media
217,express,4,7,1,0,baja,media
94,normal,4,10,1,0,alta,media
188,normal,4,8,1,0,baja,baja
1329,normal,48,17,1,0,baja,baja
498,express,4,16,0,0,baja,media
268,normal,4,13,1,0,media,media
202,normal,4,6,0,0,baja,baja
388,normal,8,15,0,0,baja,baja
1078,normal,24,2,1,0,media,baja
1333,normal,48,5,0,0,alta,media
185,normal,4,26,0,0,baja,baja
1191,normal,48,11,0,0,baja,baja
69,normal,4,29,0,0,baja,baja
1215,express,24,36,0,0,baja,media
1185,normal,24,12,0,1,baja,baja
222,normal,4,14,1,0,baja,baja
315,express,4,26,0,0,alta,alta
1163,normal,24,29,1,0,media,media
2749,normal,48,8,0,0,alta,media
2595,express,48,18,0,0,media,alta
2633,express,48,27,0,0,baja,alta
2919,normal,72,26,0,0,baja,media
1305,express,24,27,0,0,alta,alta
898,express,8,27,0,0,alta,alta
2477,normal,48,9,0,0,alta,media
3055,normal,72,2,0,0,alta,media
538,normal,8,37,1,0,baja,baja
100,normal,4,26,0,0,baja,baja
264,normal,4,15,1,0,baja,baja
114,express,4,7,1,0,media,alta
246,normal,4,16,0,0,media,baja
362,express,4,14,0,0,alta,alta
1317,normal,24,9,0,0,baja,baja
368,normal,8,20,1,0,baja,baja
656,express,8,18,1,0,baja,media
140,normal,4,39,0,1,baja,media
144,normal,4,16,0,0,alta,media
1275,express,24,38,0,1,alta,alta
1606,normal,48,15,0,0,baja,baja
1305,normal,24,14,0,0,alta,media
262,normal,4,19,0,0,alta,media
604,express,8,33,0,1,media,media
133,express,4,21,0,0,baja,media
343,normal,4,47,1,1,alta,alta
577,normal,8,7,0,0,media,baja
524,normal,8,20,0,0,baja,baja
488,normal,8,8,1,0,media,baja
384,normal,8,12,0,0,media,baja
133,normal,4,10,0,0,media,baja
402,normal,8,36,0,0,baja,baja
1025,normal,24,9,0,0,baja,baja
2339,normal,48,30,1,0,alta,alta
460,normal,8,15,0,1,media,baja
2927,normal,72,11,0,0,media,media
280,normal,4,20,1,0,baja,baja
419,normal,8,35,1,0,alta,media
147,express,4,9,0,0,baja,media
164,normal,4,10,0,1,baja,baja
707,normal,24,10,1,1,media,baja
536,express,8,21,0,0,baja,media
1529,normal,48,16,0,0,baja,baja
356,express,4,16,0,1,baja,media
150,normal,4,9,0,0,baja,baja
1511,express,24,25,1,0,baja,media
427,normal,8,11,0,1,media,baja
285,express,4,13,1,0,media,alta
564,normal,8,25,1,0,baja,baja
460,express,8,41,1,0,baja,media
2668,normal,72,8,0,0,baja,baja
1593,express,48,11,1,0,baja,media
2886,normal,72,9,0,0,baja,baja
201,normal,4,20,1,0,media,media
334,normal,4,16,0,0,media,baja
227,express,4,27,1,0,baja,alta
138,normal,4,11,0,0,media,baja
320,normal,4,15,0,0,alta,media
289,normal,4,7,1,1,baja,media
121,normal,4,12,0,1,baja,baja
667,normal,8,10,0,0,alta,baja
141,express,4,5,1,0,baja,media
374,normal,8,17,1,0,baja,baja
189,normal,4,10,0,1,media,media
3401,normal,72,43,0,1,media,media
3663,express,48,14,1,0,media,alta
312,normal,8,12,1,0,baja,baja
198,normal,4,20,1,0,baja,baja
80,express,4,15,0,0,alta,alta
554,express,8,28,0,0,media,media
3684,express,72,45,1,0,alta,alta
145,normal,4,15,0,1,alta,media
116,express,4,8,0,0,baja,media
124,normal,4,11,0,0,baja,baja
195,express,4,22,0,0,alta,alta
527,normal,8,21,1,0,baja,baja
146,express,4,21,0,0,media,alta
118,normal,4,9,1,0,alta,media
323,normal,8,16,0,1,baja,baja
612,normal,8,33,0,0,baja,baja
338,normal,8,24,0,0,baja,baja
314,normal,4,6,0,0,alta,media
685,normal,24,15,0,1,baja,baja
911,normal,24,7,0,0,alta,media
422,normal,8,13,0,0,media,baja
281,normal,4,11,0,0,baja,baja
2722,express,48,14,0,0,baja,media
402,express,8,8,1,0,media,media
828,normal,24,9,0,0,media,baja
507,express,8,11,0,0,media,media
981,normal,24,34,0,1,baja,baja
565,normal,8,28,0,0,baja,baja
115,express,4,14,0,1,media,alta
1585,express,48,11,0,0,media,media
423,express,8,15,0,1,alta,alta
492,express,8,27,1,0,baja,media
158,express,4,1,0,0,media,media
1518,normal,48,31,1,0,baja,baja
290,normal,8,9,1,0,baja,baja
988,normal,24,29,0,0,baja,baja
689,normal,24,25,0,0,baja,baja
3476,normal,72,19,0,0,baja,baja
341,normal,8,8,0,0,baja,baja
1097,normal,24,23,0,0,baja,baja
248,normal,4,10,0,0,baja,baja
175,express,4,5,1,1,alta,alta
47,normal,4,44,1,1,media,media
104,normal,4,21,0,0,media,media
3319,normal,72,15,0,0,baja,baja
2490,normal,48,12,0,0,media,media
189,normal,4,6,0,0,baja,baja
1863,normal,48,15,0,0,alta,media
990,express,24,9,0,0,media,media
3778,normal,72,12,0,0,baja,baja
542,normal,8,40,0,0,baja,baja
1304,normal,24,32,1,1,baja,media
159,normal,4,35,0,0,media,media
246,normal,4,7,0,0,media,baja
1740,normal,48,35,1,0,baja,baja
2244,express,48,23,0,0,baja,alta
1601,normal,48,5,0,0,baja,baja
1155,normal,24,11,0,0,baja,baja
4067,normal,72,1,0,0,alta,media
78,normal,4,16,0,0,alta,media
3066,express,48,14,0,0,baja,media
652,normal,24,20,1,0,baja,baja
993,normal,24,15,0,0,media,baja
497,normal,8,21,0,0,baja,baja
321,express,4,40,0,0,baja,media
2781,normal,48,46,0,0,baja,media
312,express,4,40,0,0,baja,media
168,normal,4,4,0,0,baja,baja
81,normal,4,10,1,0,alta,media
355,normal,8,19,0,1,alta,media
125,normal,4,10,0,0,alta,media
1571,express,24,19,0,0,alta,alta
496,normal,8,34,0,0,baja,baja
1126,normal,24,31,0,0,alta,media
126,express,4,29,1,0,baja,alta
1394,normal,48,18,0,0,media,baja
2899,normal,72,15,0,0,baja,baja
32,express,4,9,0,0,baja,media
369,express,4,12,0,0,baja,media
4082,normal,72,23,1,1,baja,media
124,normal,4,5,0,0,baja,baja
1747,express,24,30,0,0,alta,alta
563,normal,8,21,0,0,media,baja
3857,express,48,20,0,0,alta,alta
2362,normal,48,33,0,0,baja,media
3850,normal,72,12,1,1,baja,media
158,normal,4,15,0,0,alta,media
283,express,4,11,0,0,baja,media
636,normal,8,28,1,0,media,baja
1102,express,24,35,0,0,baja,media
153,normal,4,9,0,1,alta,media
57,normal,4,24,1,0,baja,media
27,express,4,10,0,0,baja,media
137,express,4,21,1,1,baja,alta
1577,express,24,15,0,0,alta,alta
304,express,4,6,1,0,baja,media
724,normal,24,13,1,1,alta,media
130,express,4,22,1,0,media,alta
3546,express,48,7,1,0,alta,alta
441,normal,8,24,0,1,alta,media
88,express,4,29,0,0,media,alta
1386,normal,48,9,0,1,media,baja
587,normal,8,14,1,0,baja,baja
130,normal,4,8,0,1,baja,baja
136,express,4,22,1,0,media,alta
334,normal,4,5,0,0,alta,media
193,normal,4,25,0,0,baja,baja
172,express,4,24,0,1,baja,alta
267,normal,4,14,0,0,baja,baja
96,normal,4,13,0,0,baja,baja
1384,normal,48,27,0,0,alta,media
243,normal,4,28,1,1,baja,media
3282,express,48,27,0,0,alta,alta
3140,express,48,24,0,0,alta,alta
337,normal,8,10,1,0,media,baja
462,normal,8,34,0,0,alta,media
1457,normal,48,5,0,0,baja,baja
497,normal,8,22,0,0,baja,baja
1260,normal,24,19,0,0,baja,baja
2334,normal,72,20,0,0,media,media
302,normal,4,21,1,0,baja,media
255,normal,4,21,1,0,baja,media
245,normal,4,4,1,0,baja,baja
3515,normal,72,28,0,0,media,media
1073,express,24,6,0,0,alta,alta
73,normal,4,8,0,1,baja,baja
500,normal,8,16,0,0,baja,baja
247,express,4,30,0,0,baja,media
1561,normal,48,2,0,0,media,baja
2618,normal,72,15,1,0,alta,alta
567,express,8,5,0,0,baja,baja
156,normal,4,7,0,1,media,media
184,normal,4,16,1,0,media,media
133,normal,4,47,0,0,baja,baja
414,normal,8,11,0,0,media,baja
818,express,8,21,1,0,alta,alta
446,express,4,32,1,0,baja,alta
528,normal,8,7,1,0,baja,baja
148,normal,4,15,0,0,media,baja
1407,normal,48,22,0,0,baja,baja
2919,normal,72,30,1,0,alta,alta
317,normal,8,21,0,0,media,baja
3197,normal,72,10,0,0,media,media
407,normal,8,24,1,1,baja,baja
3825,normal,72,7,0,1,media,media
474,express,8,13,0,0,alta,media
628,normal,24,22,0,0,baja,baja
1224,express,24,8,1,0,alta,alta
230,normal,4,18,0,0,media,baja
238,normal,4,10,0,0,baja,baja
270,normal,4,23,0,0,media,media
99,normal,4,27,0,0,baja,baja
129,normal,4,30,0,0,media,media
138,normal,4,12,0,0,media,baja
285,normal,4,5,0,0,baja,baja
353,normal,8,2,0,0,alta,baja
323,express,4,10,0,0,alta,alta
300,normal,8,27,0,0,alta,media
473,express,4,16,1,0,baja,media
151,normal,4,8,0,0,baja,baja
146,normal,4,16,0,0,baja,baja
375,express,4,30,0,1,baja,alta
1354,normal,48,37,0,0,baja,baja
92,express,4,19,0,0,baja,media
170,express,4,27,1,0,media,alta
1820,express,48,10,0,0,baja,media
329,express,4,32,0,0,baja,media
929,express,8,36,0,0,alta,alta
663,express,8,21,0,1,baja,media
584,normal,8,29,0,0,alta,media
1675,normal,48,35,0,0,baja,baja
1154,normal,24,10,0,0,media,baja
72,normal,4,33,0,0,baja,baja
60,normal,4,10,1,0,media,media
42,normal,4,20,0,1,media,media
731,normal,24,12,1,1,media,baja
73,normal,4,14,0,0,baja,baja
1215,express,24,8,0,0,alta,alta
2811,normal,72,1,0,0,baja,baja
3312,express,48,15,1,0,baja,alta
118,normal,4,4,0,0,baja,baja
149,normal,4,26,0,0,baja,baja
77,normal,4,9,0,0,baja,baja
895,express,8,10,0,0,media,media
368,normal,8,43,1,0,alta,media
2685,normal,72,9,1,0,alta,alta
164,normal,4,8,0,0,baja,baja
3480,normal,72,20,0,0,alta,media
486,normal,8,24,1,0,baja,baja
188,express,4,22,0,0,baja,media
1490,normal,48,29,0,0,media,baja
1191,express,24,25,1,0,media,alta
571,normal,8,14,0,0,baja,baja
104,normal,4,6,1,0,baja,baja
1574,normal,48,28,0,0,alta,media
683,normal,24,16,0,0,baja,baja
111,normal,4,25,0,0,alta,media
487,normal,8,29,1,1,baja,baja
485,express,8,22,0,0,media,media
196,normal,4,17,0,0,baja,baja
214,normal,4,25,0,0,baja,baja
3126,normal,72,34,1,0,baja,media
122,normal,4,39,0,0,alta,media
1151,express,24,6,0,0,media,media
198,normal,4,36,0,0,alta,media
72,normal,4,19,0,0,baja,baja
359,normal,8,13,0,0,baja,baja
1080,normal,24,27,1,0,media,media
136,express,4,6,0,0,alta,alta
586,normal,8,9,0,0,baja,baja
322,express,4,20,1,1,baja,alta
1574,normal,48,20,1,0,baja,baja
301,normal,4,22,0,0,baja,baja
352,normal,4,2,0,0,alta,media
869,normal,24,5,0,1,baja,baja
1382,express,24,8,0,0,media,media
1486,normal,48,32,0,0,alta,media
2904,normal,72,34,0,0,media,media
1052,normal,24,9,0,0,alta,media
1213,normal,24,9,0,0,baja,baja
230,normal,4,12,1,0,media,media
1017,normal,24,21,0,0,baja,baja
110,express,4,15,1,0,alta,alta
514,normal,8,15,0,0,alta,baja
185,normal,4,16,0,0,media,baja
2918,normal,72,8,0,0,baja,baja
327,normal,4,33,1,0,media,media
320,normal,8,5,1,0,alta,media
544,express,8,8,1,0,media,media
3126,normal,72,11,0,0,media,media
238,express,4,35,0,0,alta,alta
133,normal,4,20,0,0,baja,baja
2997,normal,72,23,0,0,baja,media
55,normal,4,32,0,0,alta,media
43,express,4,8,1,0,baja,media
135,normal,4,38,0,0,media,media
491,normal,8,7,0,0,baja,baja
3212,normal,72,23,0,0,baja,media
133,express,4,9,0,0,baja,media
1239,normal,24,31,0,1,alta,media
179,normal,4,7,1,1,alta,alta
720,express,8,6,1,0,baja,media
208,normal,4,14,0,0,baja,baja
1270,express,24,12,0,0,media,media
349,normal,8,14,0,1,media,baja
499,normal,8,29,0,0,baja,baja
394,express,8,12,0,0,alta,media
241,normal,4,19,1,0,baja,baja
62,express,4,8,1,0,baja,media
168,express,4,30,0,0,media,alta
587,express,8,23,0,1,media,media
233,express,4,7,0,0,baja,media
1431,normal,48,19,1,1,baja,baja
641,express,8,11,0,0,media,media
337,normal,8,26,1,0,baja,baja
2966,express,48,14,0,0,baja,media
2581,normal,48,27,1,0,baja,media
380,normal,8,7,1,0,baja,baja
253,normal,4,18,0,0,baja,baja
3503,express,72,14,0,0,alta,alta
169,normal,4,32,0,0,media,media
539,normal,8,19,0,0,alta,baja
272,normal,4,3,0,0,baja,baja
3219,normal,72,5,0,1,baja,media
435,normal,8,24,1,0,alta,media
340,express,4,10,0,1,media,alta
632,normal,8,32,0,0,baja,baja
152,normal,4,45,0,0,baja,baja
1685,normal,48,8,1,0,baja,baja
189,normal,4,18,1,0,media,media
360,normal,8,5,1,0,alta,media
1467,express,24,17,0,0,baja,media
1634,express,24,15,0,0,baja,media
222,normal,4,26,1,0,baja,media
1344,normal,24,12,1,0,baja,baja
2815,normal,48,21,0,0,media,media
983,express,24,7,1,0,alta,alta
1231,normal,24,7,0,0,alta,media
388,normal,8,33,0,0,media,baja
1234,normal,48,32,0,0,baja,baja
2875,normal,72,38,0,0,media,media
1144,normal,24,10,1,0,baja,baja
386,normal,8,24,1,0,media,baja
193,normal,4,16,0,0,baja,baja
148,express,4,41,0,0,alta,alta
239,normal,4,35,0,0,baja,baja
533,normal,8,13,1,0,baja,baja
